KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,n_cens,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D4-68__ITER2,199-D4-68,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,,,,,,,,,,,,,,,,,,,,,,1,1,SUM_ROWS_1,False
199-D4-78__ITER1,199-D4-78,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,7.0,0.6655517542692393,12.0,49.896336397862186,51.44151384234175,0.41160368452908375,48.12094775118307,48.57061498727246,48.71061415120964,48.89353647342285,49.34320370951224,49.48320287344942,-22.948168198931093,16.0,1.0,42.58454766747311,-0.2541892076739077,-0.000692977689150218,-0.034910911262586615,0.6343894485874016,0.4039400737801574,4,4,INTERP+EVENT,True
199-D4-78__ITER2,199-D4-78,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,7.0,0.0029267539229480555,10.0,31.025044627121733,32.30315928635225,0.36858819500426476,29.02889410545215,38.4026149076121,40.69276731957873,29.66795143506741,39.04167223722735,41.33182464919398,-13.512522313560867,14.0,0.0,-1.379673194311878,-0.007531181236248788,0.00024163045911282404,-0.9334694287256007,0.9505285470473244,0.000258029057008283,4,4,INTERP+EVENT,True
199-D4-83__ITER1,199-D4-83,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,17.0,0.09281183022158068,5.0,23.726483943818707,24.120933098491147,0.7727715094970511,23.873087679771345,23.210940217106184,26.480846276776656,24.070312257107563,23.408164794442403,26.678070854112875,-9.863241971909353,9.0,0.0,30.519621058539016,-0.28916787219383105,0.0005325140354885785,-1.2968339800631352,0.11947643415258022,0.20394499942776312,4,4,INTERP+EVENT,True
199-D4-83__ITER2,199-D4-83,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,17.0,6.307585809217642e-08,131.0,371.50748452453547,377.31803408141235,1.0,390.3083714900828,388.52608455305534,402.66533999975036,393.2136462685212,391.43135933149375,405.57061477818877,-183.75374226226774,135.0,30.0,61.057093492025565,-0.4673144318858185,-0.00028830863785120017,-0.02642124266725028,3.3206306542525366e-06,6.994957752140415e-06,4,4,INTERP+EVENT,True
199-D4-84__ITER1,199-D4-84,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,2.0,0.011682210076171318,6.0,22.425789306252394,23.030959492240484,0.4897478108185723,20.99805992192182,28.198865313682266,29.32516550751519,21.300645014915865,28.501450406676312,29.627750600509238,-9.212894653126197,10.0,0.0,2.933682015509044,-0.04015549622860885,0.00040250214357773315,-2.356366050290313,0.44281439003723766,0.0006064506098302011,4,4,INTERP+EVENT,True
199-D4-84__ITER2,199-D4-84,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,2.0,3.6637359812630166e-15,52.0,95.43130001130085,99.48200339277115,1.0,118.15547402000595,159.04533233711487,159.91207941077334,120.1808257107411,161.07068402785,161.93743110150848,-45.715650005650424,56.0,0.0,53.23384808326626,-0.2673141211116191,-0.0012012135070949487,-1.074328523964557,2.4730930904056098e-08,5.814812736801305e-29,4,4,INTERP+EVENT,True
199-D4-84__ITER3,199-D4-84,3,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,2.0,0.00186676183927037,111.0,328.3301172753999,333.8199815321264,0.41751331861282304,336.50233026975087,326.5832396067379,338.8972172471708,339.2472623981141,329.32817173510114,341.642149375534,-162.16505863769996,115.0,6.0,35.51225400773149,-0.29397741863231863,3.5621104858944915e-05,-0.3187162938982696,0.0011623016452700378,0.6147228610450335,4,4,INTERP+EVENT,True
199-D4-85__ITER1,199-D4-85,1,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,8.0,0.10765140772055037,4.0,21.177051433420353,21.335934516780025,0.4074877788969178,22.47499467852014,19.381562759044446,23.634765390278584,22.554436220199975,19.46100430072428,23.71420693195842,-8.588525716710176,8.0,0.0,-27.32484496853679,0.27393513067670594,-0.00018543952135704258,-1.5346962538743516,0.04333456354630445,0.6490156044616272,4,4,INTERP+EVENT,True
199-D4-85__ITER2,199-D4-85,2,Trend_Summary,Tobit,log(VAL)~INTERP+EVENT,INTERP + EVENT,log,8.0,0.08763525946169182,165.0,489.39793704633627,495.65773447618244,0.6155021227478861,488.42730327724644,492.24858257376565,492.267080759842,491.5572019921695,495.3784812886887,495.39697947476503,-242.69896852316813,169.0,5.0,10.168318470433244,-0.05870204889285183,-7.980151757967908e-05,-0.44861892064817166,0.3095870754611395,0.026611979682830796,4,4,INTERP+EVENT,True
