NAME,XCOORDS,YCOORDS,OU,SYSTEM
699-88-41,577221.5,150333.8,100-HR-3-H,HX
699-89-35,579121.7,150543.5,100-HR-3-H,HX
699-90-37B,578474.7,151031.3,100-HR-3-H,HX
699-90-45,576169.2,151024.5,100-HR-3-H,HX
699-91-46A,575910.9,151156.6,100-HR-3-H,HX
699-94-41,577223.1,152111.7,100-HR-3-H,HX
699-94-43,576625.6,152087.9,100-HR-3-H,HX
699-95-45,576257,152556.3,100-HR-3-H,HX
699-96-43,576761.4,152605.3,100-HR-3-H,HX
699-97-41,577217.5,153090.4,100-HR-3-H,HX
699-97-43B,576859.8,152981.3,100-HR-3-H,HX
699-97-43C,576857.3,152980.7,100-HR-3-H,HX
699-97-45,576051.7,152979,100-HR-3-H,HX
699-97-45B,576049.3,152979.4,100-HR-3-H,HX
699-97-47B,575408.6,153265.3,100-HR-3-H,HX
699-97-60,575682.1,152795,100-HR-3-H,HX
699-98-43,576863.2,153371.4,100-HR-3-H,HX
699-98-46,575726.9,153365.6,100-HR-3-H,HX
699-99-41,577284,153590.7,100-HR-3-H,HX
699-99-42B,577010.2,153761,100-HR-3-H,HX
699-99-44,576458.8,153592.4,100-HR-3-H,HX
AT-H-1-D,578068.7,152955,100-HR-3-H,HX
AT-H-1-M,578069.1,152954.3,100-HR-3-H,HX
AT-H-1-S,578070.2,152957.5,100-HR-3-H,HX
AT-H-2-D,578109.8,152896.4,100-HR-3-H,HX
AT-H-2-M,578110.7,152895.2,100-HR-3-H,HX
AT-H-2-S,578111.8,152893.9,100-HR-3-H,HX
AT-H-3-D,578142.2,152853.1,100-HR-3-H,HX
AT-H-3-S,578141.8,152848.9,100-HR-3-H,HX
C5632,576389.2,154227.7,100-HR-3-H,HX
C5633,576390.6,154228,100-HR-3-H,HX
C5634,576391.4,154228.9,100-HR-3-H,HX
C5635,576478.8,154181.1,100-HR-3-H,HX
C5636,576481.4,154179.4,100-HR-3-H,HX
C5637,576483.7,154178.3,100-HR-3-H,HX
C5638,576634.1,154070.4,100-HR-3-H,HX
C5641,576871.6,153916.6,100-HR-3-H,HX
C5644,576960.9,153869.3,100-HR-3-H,HX
C5673,577157.4,153736.7,100-HR-3-H,HX
C5674,577157.4,153736.7,100-HR-3-H,HX
C5676,577276.3,153656.1,100-HR-3-H,HX
C5677,577277.3,153657.2,100-HR-3-H,HX
C5678,577278.7,153653.5,100-HR-3-H,HX
C5679,577409.7,153593.4,100-HR-3-H,HX
C5680,577409.4,153593.8,100-HR-3-H,HX
C5681,577407.4,153594.6,100-HR-3-H,HX
C5682,577699.8,153338.7,100-HR-3-H,HX
C6284,576042.3,154363.6,100-HR-3-H,HX
C6285,576039.2,154364.3,100-HR-3-H,HX
C6286,576037.5,154364.5,100-HR-3-H,HX
C6287,576781.6,153965.5,100-HR-3-H,HX
C6288,576783.4,153964,100-HR-3-H,HX
C6290,577793.5,153266,100-HR-3-H,HX
C6291,577792.4,153267,100-HR-3-H,HX
C6293,578035.1,152996.7,100-HR-3-H,HX
C6296,578314.8,152574.8,100-HR-3-H,HX
C6297,578313.2,152575.1,100-HR-3-H,HX
C6299,578585.4,152323.6,100-HR-3-H,HX
C6300,578585.2,152324.6,100-HR-3-H,HX
C6301,578583.5,152323.3,100-HR-3-H,HX
C7649,578271.2,152659.9,100-HR-3-H,HX
C7650,578271.6,152659,100-HR-3-H,HX
199-D2-11,573328.2,151120.7,100-HR-3-D,DX
199-D2-6,573000.2,151119.9,100-HR-3-D,DX
199-D3-2,572453.9,151165.6,100-HR-3-D,DX
199-D3-3,572482.5,151187,100-HR-3-D,DX
199-D3-4,572468.2,151171,100-HR-3-D,DX
199-D3-5,572787.7,150994.5,100-HR-3-D,DX
199-D4-1,572752.8,151558.9,100-HR-3-D,DX
199-D4-10,572750.2,151540.4,100-HR-3-D,DX
199-D4-101,572800.1,151425.9,100-HR-3-D,DX
199-D4-11,572768.9,151554.1,100-HR-3-D,DX
199-D4-12,572771.6,151562.1,100-HR-3-D,DX
199-D4-13,572665.8,151424.5,100-HR-3-D,DX
199-D4-14,572839.8,151641.6,100-HR-3-D,DX
199-D4-15,572936.6,151424.9,100-HR-3-D,DX
199-D4-19,572559.3,151282,100-HR-3-D,DX
199-D4-2,572768.4,151544,100-HR-3-D,DX
199-D4-20,572794,151257.5,100-HR-3-D,DX
199-D4-21,572778.8,151569.8,100-HR-3-D,DX
199-D4-22,572788.4,151539.3,100-HR-3-D,DX
199-D4-23,572672.4,151592.9,100-HR-3-D,DX
199-D4-24,572699.9,151471.4,100-HR-3-D,DX
199-D4-25,572711.4,151476.2,100-HR-3-D,DX
199-D4-26,572712.3,151488.9,100-HR-3-D,DX
199-D4-27,572724.2,151493.5,100-HR-3-D,DX
199-D4-28,572725.1,151506.1,100-HR-3-D,DX
199-D4-29,572736.8,151510.7,100-HR-3-D,DX
199-D4-3,572766.1,151546.1,100-HR-3-D,DX
199-D4-30,572737.4,151523.2,100-HR-3-D,DX
199-D4-31,572749.5,151528,100-HR-3-D,DX
199-D4-32,572790.9,151573.7,100-HR-3-D,DX
199-D4-33,572792.6,151585.9,100-HR-3-D,DX
199-D4-34,572804.6,151590,100-HR-3-D,DX
199-D4-35,572806.3,151602.3,100-HR-3-D,DX
199-D4-36,572818.2,151606.2,100-HR-3-D,DX
199-D4-37,572820.3,151618.6,100-HR-3-D,DX
199-D4-38,572671.3,151537.9,100-HR-3-D,DX
199-D4-39,572747.4,151650.8,100-HR-3-D,DX
199-D4-4,572754.6,151571.6,100-HR-3-D,DX
199-D4-40,572832.3,151622.6,100-HR-3-D,DX
199-D4-41,572834.1,151634.6,100-HR-3-D,DX
199-D4-42,572847.1,151642.4,100-HR-3-D,DX
199-D4-43,572849.6,151656.2,100-HR-3-D,DX
199-D4-44,572856.1,151665.6,100-HR-3-D,DX
199-D4-45,572868,151671.8,100-HR-3-D,DX
199-D4-46,572868.8,151684.9,100-HR-3-D,DX
199-D4-47,572880.5,151690.1,100-HR-3-D,DX
199-D4-48,572881.3,151703.5,100-HR-3-D,DX
199-D4-49,572699.1,151458.7,100-HR-3-D,DX
