"NAME","WELL_ID","TYPE","STATUS","TD","BOH","ZCOORDS","YCOORDS","XCOORDS","OU"
"699-40-12B","A8628","VADOSE WELL","DECOMMISSIONED-V",150.876,NA,158.653,135641.273,586323.415,"200-PO-1"
"699-40-12C","A8629","GROUNDWATER WELL","IN-USE",80.772,46.704504,158.313,135663.824,586362.389,"200-PO-1"
"699-40-12D","A8630","VADOSE WELL","DECOMMISSIONED-V",60.96,NA,159.388,135615.845,586319.047,"200-PO-1"
"699-40-12E","A8631","VADOSE WELL","DECOMMISSIONED-V",60.96,NA,159.38,135636.973,586319.13,"200-PO-1"
"699-40-12F","A8632","VADOSE WELL","DECOMMISSIONED-V",60.96,NA,160.065,135655.055,586318.783,"200-PO-1"
"699-40-12G","A8633","VADOSE WELL","DECOMMISSIONED-V",56.6928,41.568624,159.64,135689.033,586319.183,"200-PO-1"
"699-40-12H","A8634","VADOSE WELL","DECOMMISSIONED-V",60.96,NA,159.343,135700.961,586318.768,"200-PO-1"
"699-40-12L","A8635","VADOSE WELL","DECOMMISSIONED-V",33.2232,9.41832,159.314,135693.362,586314.429,"200-PO-1"
"699-40-13","A8636","VADOSE WELL","DECOMMISSIONED-V",153.6192,153.6192,155.795,135653.894,585937.544,"200-PO-1"
"699-40-20","A8637","GROUNDWATER WELL","IN-USE",155.448,30.05328,147.144,135678.083,583830.182,"200-PO-1"
"699-40-21","A8638","VADOSE WELL","DECOMMISSIONED-V",30.48,30.48,145.204,135723.648,583358.166,"200-PO-1"
"699-40-28","A8639","UNCLASSIFIED","DECOMMISSIONED-V",NA,NA,164.058,135715.743,581291.814,"200-PO-1"
