"NAME","TOP","BOT"
"199-D5-151",121.031912,111.878768
"199-D5-152",120.414104,111.254864
"199-D5-153",119.242144,111.613
"199-D5-154",120.687144,111.537048
"199-D5-155",111.571664,111.522896
"199-D5-156",111.534944,111.486176
"199-D5-157",111.66292,111.614152
"199-D5-158",113.23136,113.167352
"199-D5-159",120.844336,113.224336
"199-D5-16",120.80948,114.46964
"199-D5-160",120.816,111.672
"199-D5-162",120.894392,111.689432
"199-D5-163",119.2004,111.501152
"199-D5-17",120.28504,113.92996
"199-D5-18",121.77312,114.0312
"199-D5-19",119.13896,112.982
"199-D5-20",119.74224,113.34144
"199-D5-32",119.456088,111.8178
"199-D5-33",120.0918,112.57848
"199-D5-34",120.323976,112.688736
"199-D5-36",120.294624,114.198624
"199-D5-37",119.358656,114.783608
"199-D5-38",119.005024,112.905976
"199-D5-39",119.586904,113.475664
"199-D5-40",118.820856,112.721808
"199-D5-41",118.5928,112.4968
"199-D5-42",118.559792,112.454648
"199-D5-43",119.85224,112.223096
"199-D5-44",119.09696,114.52496
"199-D5-92",119.410784,113.003888
"199-D5-93",118.6164,112.5204
"199-D5-97",119.34,110.196
"199-D5-98",118.82884,109.68484
"199-D5-99",119.823408,110.639784
"199-D6-1",119.836,113.74
"199-D6-2",119.3984,111.769256
"199-D6-3",120.73172,113.11172
"199-D7-3",120.973056,110.302008
"199-D7-4",118.516,112.42
"199-D7-5",121.317832,115.218784
"199-D7-6",120.313984,114.1936
"199-D7-7",105.445952,100.877
"199-D8-101",118.170296,115.122296
"199-D8-102",117.8932,110.2732
"199-D8-4",120.6628,114.5668
"199-D8-5",118.9686,112.8726
"199-D8-53",119.177,112.9286
"199-D8-54A",119.1748,112.74352
"199-D8-54B",95.27148,92.0406
"199-D8-55",120.78972,114.44988
"199-D8-6",118.746,112.55856
"199-D8-68",120.1936,112.5736
"199-D8-69",119.218872,113.12592
"199-D8-70",119.4512,110.3072
"199-D8-71",119.6962,110.5522
"199-D8-72",118.658144,112.714544
"199-D8-73",120.063808,114.876112
"199-D8-88",118.408736,111.992696
"199-D8-89",117.65616,114.605112
"199-D8-90",118.517832,110.894784
"199-D8-91",117.516032,111.42308
"199-D8-93",117.33876,115.811712
"199-D8-94",117.243048,112.664952
"199-D8-95",118.954144,112.861192
"199-D8-96",119.120664,113.024664
"199-D8-97",120.773824,111.617632
"199-D8-98",120.373984,112.74484
"199-D8-99",119.798288,112.172192
"199-F1-2",115.43196,110.85996
"199-F5-42",114.72904,108.63304
"199-F5-43A",114.48252,108.38652
"199-F5-43B",76.28996,73.24196
"199-F5-44",114.40804,108.31204
"199-F5-45",115.2488,110.58536
"199-F5-46",114.75516,110.427
"199-F5-47",115.76792,109.67192
"199-F5-48",115.7096,111.04616
"199-F5-52",115.454432,109.358432
"199-F5-53",96.130712,93.082712
"199-F5-54",115.004024,108.908024
"199-F5-55",114.71044,111.66244
"199-F5-56",115.28208,112.23408
"199-F5-57",115.573968,109.468824
"199-F5-58",115.273256,109.165064
"199-F6-1",114.69884,108.60284
"199-F7-2",116.062,111.3376
"199-F7-3",115.28092,110.70892
"199-F8-3",115.5522,112.5042
"199-F8-4",114.33624,111.28824
"199-F8-7",116.4624,113.4144
"199-H1-1",118.0326,113.4606
"199-H1-12",118.464232,113.748976
"199-H1-2",117.33808,114.29008
"199-H1-20",117.633184,111.531088
"199-H1-21",116.17092,111.595872
"199-H1-25",119.432512,113.33956
"199-H1-27",119.23684,113.14084
"199-H1-3",118.8084,115.7604
"199-H1-32",120.599,114.503
"199-H1-33",119.0766,114.5046
"199-H1-34",118.46952,113.89752
"199-H1-35",117.7986,113.2266
"199-H1-36",118.4456,113.8736
"199-H1-37",118.277648,113.696504
"199-H1-38",118.156704,113.581656
"199-H1-39",118.5566,113.9846
"199-H1-4",118.365144,115.317144
"199-H1-40",118.9406,114.3686
"199-H1-42",116.043976,112.992928
"199-H1-43",115.5944,112.5464
"199-H1-45",116.050472,111.472376
"199-H1-46",113.483176,111.946984
"199-H1-47",118.93516,112.83916
"199-H1-48",119.171328,113.075328
"199-H1-49",119.125384,111.505384
"199-H1-5",119.091816,111.46572
"199-H1-50",105.638152,99.542152
"199-H1-51",117.342856,114.304
"199-H1-6",117.552872,114.504872
"199-H1-7",118.2508,115.2028
"199-H2-1",103.851992,100.803992
"199-H3-10",96.894272,93.846272
"199-H3-11",117.38916,114.32592
"199-H3-12",102.678856,98.106856
"199-H3-13",100.260312,95.688312
"199-H3-15",102.659624,98.026664
"199-H3-21",111.93164,110.40764
"199-H3-22",105.259,96.115
"199-H3-25",117.51924,111.420192
"199-H3-26",116.647192,112.069096
"199-H3-27",117.450256,111.357304
"199-H3-28",101.328424,95.232424
"199-H3-29",103.466,100.418
"199-H3-2A",115.5092,112.4612
"199-H3-2B",NA,NA
"199-H3-2C",NA,NA
"199-H3-3",119.2138,113.1178
"199-H3-30",107.827496,101.728448
"199-H3-31",106.901552,103.853552
"199-H3-32",101.899248,98.8482
"199-H3-33",105.690048,102.639
"199-H3-34",111.512336,108.464336
"199-H3-35",104.888528,97.253288
