NAME,XCOORDS,YCOORDS,TOP,BOT,OU,DIST,EVENT,ANALYTE
199-D5-20,573239.97,152030.15,119.74223999999998,113.34143999999999,100-HR-3-D,174.22832929116186,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-32,573372.04,151903.39,119.456088,111.81779999999999,100-HR-3-D,355.11096459024134,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-33,573095.03,151714.54,120.09179999999999,112.57847999999998,100-HR-3-D,301.6823048605717,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-34,573240.42,151554.12,120.323976,112.688736,100-HR-3-D,517.5071616749117,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-36,572909.823,151746.32,120.294624,114.19862400000001,100-HR-3-D,145.06793638707694,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-37,573092.236,151916.365,119.358656,114.783608,100-HR-3-D,161.27612662207056,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-38,572996.824,151545.593,119.00502399999999,112.90597600000001,100-HR-3-D,346.0218099468885,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-39,573142.858,151428.428,119.586904,113.47566400000001,100-HR-3-D,532.6596396855675,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-40,573003.258,151272.017,118.82085599999999,112.721808,100-HR-3-D,538.2706537229053,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-41,573358.16,151792.191,118.5928,112.4968,100-HR-3-D,435.11249179463874,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-42,573479.771,151622.674,118.559792,112.454648,100-HR-3-D,643.650295918195,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-43,573179.976,151269.43,119.85224,112.223096,100-HR-3-D,668.6903872647845,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-44,572993.581,151835.736,119.09695999999998,114.52496,100-HR-3-D,144.7375133176987,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-92,573131.93,152009.82,119.41078399999999,113.00388799999999,100-HR-3-D,124.87520283528357,2008-01-01,Hex. Chromium and Fil. Chromium
199-D5-97,573250.11,151302.47,119.33999999999999,110.196,100-HR-3-D,697.0937139564846,2008-01-01,Hex. Chromium and Fil. Chromium
199-D6-3,574159.09,151643.85,120.73172,113.11171999999999,100-HR-3-D,1038.7694328765147,2008-01-01,Hex. Chromium and Fil. Chromium
199-D7-3,574151.38,152363.41,120.97305599999999,110.30200799999999,100-HR-3-D,461.94324718254916,2008-01-01,Hex. Chromium and Fil. Chromium
199-D7-6,574429.2,152980.43,120.31398399999999,114.19359999999999,100-HR-3-D,455.15613646198886,2008-01-01,Hex. Chromium and Fil. Chromium
199-D7-7,574433.17,152667.9,105.44595199999999,100.877,100-HR-3-D,508.6631050106749,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-101,574069.46,152262.43,118.17029600000001,115.122296,100-HR-3-D,492.55798702223893,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-102,573661.84,152076.09,117.8932,110.27319999999999,100-HR-3-D,393.53274531272797,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-4,573447.185,152090.212,120.66279999999999,114.56679999999999,100-HR-3-D,252.13131350973694,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-5,573537.146,152243.497,118.9686,112.87259999999999,100-HR-3-D,184.80307294772507,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-53,573889.86,152452.26,119.17699999999999,112.9286,100-HR-3-D,232.7024488875139,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-54A,573781.17,152408.03,119.17480000000002,112.74352000000002,100-HR-3-D,201.95898124939117,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-54B,573768.24,152398.65,95.27148,92.04060000000001,100-HR-3-D,201.5762964711983,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-55,573620.954,152364.345,120.78972,114.44988000000001,100-HR-3-D,139.53543303638884,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-6,573434.693,152060.822,118.746,112.55856,100-HR-3-D,267.92498655740053,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-68,573711.67,152427.1,120.1936,112.57360000000001,100-HR-3-D,144.64903081934403,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-69,573843.61,152552.201,119.218872,113.12592000000001,100-HR-3-D,125.1881803805225,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-70,573942.097,152508.741,119.4512,110.30720000000001,100-HR-3-D,219.4700688601508,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-71,573837.097,152429.388,119.6962,110.55220000000001,100-HR-3-D,218.89200238336085,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-72,573570.481,152211.774,118.65814400000002,112.71454400000002,100-HR-3-D,230.24251177809924,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-73,573388.7,152167.38,120.063808,114.876112,100-HR-3-D,155.3051310341669,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-88,573292.33,152141.26,118.40873599999999,111.992696,100-HR-3-D,117.63285948469687,2008-01-01,Hex. Chromium and Fil. Chromium
199-D8-89,573478.64,152249.65,117.65615999999999,114.60511199999999,100-HR-3-D,144.43099294278042,2008-01-01,Hex. Chromium and Fil. Chromium
