KEY,WELL,ITER,CLASS,MODEL,FORM_raw,FORM_label,LOG,LAG,p_trend,df,AIC,BIC,RL,AIC_EVENT,AIC_INTERP,AIC_NULL,BIC_EVENT,BIC_INTERP,BIC_NULL,logLik,n_obs,beta_intercept,beta_interp,beta_event,beta_logSigma,p_interp,p_event,SUM_rows,SUM_cols,model_type,fit_ok
199-D4-48__ITER2,199-D4-48,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,6,0.050375215,9,34.90256352,36.03246223,0.801751876,38.7666147,34.46065131,38.87907548,39.33156406,35.02560067,39.44402484,NA,NA,111.5657904,-0.919339108,-0.000156409,-0.519848067,0.042402063,0.20193138,4,4,INTERP+EVENT,TRUE
199-D4-50__ITER1,199-D4-50,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,29,0.001006499,11,33.93384115,35.34994156,1,42.36583098,39.36033893,45.73639545,43.07388118,40.06838913,46.44444565,NA,NA,261.8451738,-1.787094559,-0.00331651,-0.024009151,7.65E-05,0.002382804,4,4,INTERP+EVENT,TRUE
199-D4-50__ITER2,199-D4-50,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-56__ITER1,199-D4-56,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,28,0.003377156,10,34.98283269,36.26094735,1,41.56969439,39.17819669,44.36427529,42.20875172,39.81725402,45.00333262,NA,NA,336.7348636,-2.274645368,-0.00457693,0.296833146,0.000545612,0.007798361,4,4,INTERP+EVENT,TRUE
199-D4-56__ITER2,199-D4-56,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-60__ITER1,199-D4-60,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,84,0.011330528,4,18.98321864,19.14210172,0.409814957,17.19911954,24.21406766,25.94372789,17.27856109,24.2935092,26.02316943,NA,NA,249.9582504,-0.265914494,-0.015109545,0.089737826,0.646159197,0.005541801,4,4,INTERP+EVENT,TRUE
199-D4-60__ITER2,199-D4-60,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-68__ITER1,199-D4-68,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-68__ITER2,199-D4-68,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SUM_ROWS_1,FALSE
199-D4-78__ITER1,199-D4-78,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,7,0.665551754,12,49.8963364,51.44151384,0.411603685,48.12094775,48.57061499,48.71061415,48.89353647,49.34320371,49.48320287,NA,NA,42.58454767,-0.254189208,-0.000692978,-0.034910911,0.63443163,0.40395819,4,4,INTERP+EVENT,TRUE
199-D4-78__ITER2,199-D4-78,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,7,0.002926754,10,31.02504463,32.30315929,0.368588195,29.02889411,38.40261491,40.69276732,29.66795144,39.04167224,41.33182465,NA,NA,-1.3796732,-0.007531181,0.00024163,-0.933469429,0.950524265,0.000257793,4,4,INTERP+EVENT,TRUE
199-D4-83__ITER1,199-D4-83,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,17,0.09281183,5,23.72648394,24.1209331,0.772771509,23.87308768,23.21094022,26.48084628,24.07031226,23.40816479,26.67807085,NA,NA,30.51962121,-0.289167873,0.000532514,-1.29683398,0.119472312,0.203944892,4,4,INTERP+EVENT,TRUE
199-D4-83__ITER2,199-D4-83,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,17,6.31E-08,131,371.5074845,377.3180341,1,390.3083715,388.5260846,402.66534,393.2136463,391.4313593,405.5706148,NA,NA,61.05709349,-0.467314432,-0.000288309,-0.026421243,3.32E-06,6.99E-06,4,4,INTERP+EVENT,TRUE
199-D4-84__ITER1,199-D4-84,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,2,0.01168221,6,22.42578931,23.03095949,0.489747811,20.99805992,28.19886531,29.32516551,21.30064501,28.50145041,29.6277506,NA,NA,2.933682018,-0.040155496,0.000402502,-2.35636605,0.442820719,0.000606452,4,4,INTERP+EVENT,TRUE
199-D4-84__ITER2,199-D4-84,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,2,3.66E-15,52,95.43130001,99.48200339,1,118.155474,159.0453323,159.9120794,120.1808257,161.070684,161.9374311,NA,NA,53.23384807,-0.267314121,-0.001201214,-1.074328524,2.47E-08,5.82E-29,4,4,INTERP+EVENT,TRUE
199-D4-84__ITER3,199-D4-84,3,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,2,0.001866762,111,328.3301173,333.8199815,0.417513319,336.5023303,326.5832396,338.8972172,339.2472624,329.3281717,341.6421494,NA,NA,35.51225401,-0.293977419,3.56E-05,-0.318716294,0.0011619,0.614716976,4,4,INTERP+EVENT,TRUE
199-D4-85__ITER1,199-D4-85,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,8,0.107651408,4,21.17705143,21.33593452,0.407487779,22.47499468,19.38156276,23.63476539,22.55443622,19.4610043,23.71420693,NA,NA,-27.32484492,0.27393513,-0.00018544,-1.534696251,0.043352336,0.649012172,4,4,INTERP+EVENT,TRUE
199-D4-85__ITER2,199-D4-85,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,8,0.086568285,164,486.5077996,492.7557276,0.623805516,485.5639664,489.3834963,489.4014432,488.6879304,492.5074603,492.5254071,NA,NA,10.32407316,-0.059818485,-8.12E-05,-0.445679179,0.303350804,0.026212756,4,4,INTERP+EVENT,TRUE
199-D4-86__ITER1,199-D4-86,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,8,0.070147885,4,20.32046614,20.47934922,0.642455244,19.43554989,20.84767806,23.63476539,19.51499143,20.92711961,23.71420693,NA,NA,3.390302701,-0.070619903,0.000517648,-1.787154402,0.274014882,0.08471908,4,4,INTERP+EVENT,TRUE
199-D4-86__ITER2,199-D4-86,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,8,8.44E-05,27,78.36156823,81.22954263,0.379991761,90.12281147,76.42635681,95.12171669,91.55679868,77.86034401,96.55570389,NA,NA,71.46358015,-0.591998823,-2.42E-05,-0.582275546,0.000116083,0.798887741,4,4,INTERP+EVENT,TRUE
199-D4-95__ITER1,199-D4-95,1,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,37,0,57,62.68445307,66.9062008,1,75.25012388,173.2969436,174.1022136,77.36099774,175.4078175,176.2130875,NA,NA,47.27453985,-0.144825561,-0.001709983,-1.277302314,4.99E-05,9.46E-73,4,4,INTERP+EVENT,TRUE
199-D4-95__ITER2,199-D4-95,2,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,8,0.006796197,81,237.6948502,242.5801527,1,243.8566958,239.6573205,245.6776343,246.299347,242.0999717,248.1202855,NA,NA,26.21012601,-0.17833724,-0.000160725,-0.835487828,0.003439266,0.043902709,4,4,INTERP+EVENT,TRUE
199-D4-95__ITER3,199-D4-95,3,Trend_Summary,Tobit,log(VAL) ~ INTERP + EVENT,INTERP + EVENT,log,57,7.59E-05,42,114.5591562,118.216439,0.439859362,127.9577656,112.9165557,131.5313153,129.786407,114.7451971,133.3599567,NA,NA,40.01709226,-0.335835103,8.84E-05,-0.939287051,1.90E-05,0.549178145,4,4,INTERP+EVENT,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
