KEY,WELL_py,ITER_py,LAG_py,lag_source,p_trend_py,p_interp,p_event,AIC_py,BIC_py,logLik,n_obs,n_cens,model_type,fit_ok,beta_intercept,beta_interp,beta_event,sigma,WELL_r,ITER_r,CLASS,p_trend_r,AIC_r,BIC_r,LAG_r,_merge,LAG_diff,p_trend_diff,AIC_diff,BIC_diff
199-D3-2__ITER2,199-D3-2,2,7.0,ULAG,0.09677224927564765,0.012038250382668404,1.0,22.032226517600428,22.1911096009601,-9.016113258800214,8,0,INTERP+EVENT,True,-38.01870472871363,0.34250401543830655,0.0,0.15376230281335523,199-D3-2,2.0,Trend_Summary,0.0024292967553416,INTERP + EVENT,INTERP + EVENT,7.0,both,0.0,0.09434295252030604,,
199-D3-5__ITER1,199-D3-5,1,15.0,ULAG,0.7036208849025676,0.39872876370963617,1.0,83.21809227929123,85.80976601129989,-39.60904613964561,27,2,INTERP+EVENT,True,-14.93803913398587,0.14414062469027486,0.0,0.6246787528574059,199-D3-5,1.0,Trend_Summary,0.0193253507261356,INTERP + EVENT,INTERP + EVENT,15.0,both,0.0,0.684295534176432,,
199-D3-7__ITER1,199-D3-7,1,,NONE,,,,,,,5,0,INTERP+EVENT,False,,,,,199-D3-7,1.0,Trend_Summary,,,,,both,,,,
199-D4-101__ITER1,199-D4-101,1,32.0,ULAG,0.03094922117336374,0.007561180518656674,1.0,210.82271474791716,215.40363363021393,-103.41135737395858,73,4,INTERP+EVENT,True,-46.68011593603219,0.421556729253871,0.0,1.023780521802193,199-D4-101,1.0,Trend_Summary,0.0,INTERP + EVENT,INTERP + EVENT,32.0,both,0.0,0.03094922117336374,,
199-D4-102__ITER1,199-D4-102,1,22.0,ULAG,0.6938023235293713,0.3909892280193631,1.0,30.05094921126979,30.44539836594223,-13.025474605634894,9,2,INTERP+EVENT,True,-35.7219035282274,0.31677863493535624,0.0,1.3817707088920876,199-D4-102,1.0,Trend_Summary,8.34501180602132e-07,INTERP + EVENT,INTERP + EVENT,22.0,both,0.0,0.6938014890281907,,
199-D4-102__ITER2,199-D4-102,2,22.0,ULAG,0.9803489318287644,0.8433775043154805,1.0,21.110669924894733,21.269553008254405,-8.555334962447366,8,4,INTERP+EVENT,True,6.583340846656567,-0.05140378622241753,0.0,0.3443531261290577,199-D4-102,2.0,Trend_Summary,0.0931975558736839,INTERP + EVENT,INTERP + EVENT,22.0,both,0.0,0.8871513759550804,,
199-D4-103__ITER1,199-D4-103,1,55.0,ULAG,0.24274358061532597,0.07758594389922313,1.0,40.32582745435782,41.455726169280894,-18.16291372717891,13,3,INTERP+EVENT,True,-75.61497085910622,0.6539256738661565,0.0,0.7441443542488236,199-D4-103,1.0,Trend_Summary,0.135580470242915,INTERP + EVENT,INTERP + EVENT,55.0,both,0.0,0.10716311037241097,,
199-D4-13__ITER1,199-D4-13,1,20.0,ULAG,0.0001152456217520248,0.00011363687640576725,1.0,27.874881117129064,29.541307805241495,-11.937440558564532,17,10,INTERP+EVENT,True,249.2888681730147,-2.126758967132514,0.0,0.9071608897171618,199-D4-13,1.0,Trend_Summary,,,,,both,,,,
199-D4-13__ITER2,199-D4-13,2,20.0,ULAG,,,,,,,6,0,INTERP+EVENT,False,,,,,199-D4-13,2.0,Trend_Summary,,,,,both,,,,
199-D4-14__ITER1,199-D4-14,1,21.0,ULAG,0.3179390981511119,0.11483358009904006,1.0,34.44690856327804,35.24269910887479,-15.223454281639022,11,1,INTERP+EVENT,True,86.51253711213378,-0.7097796305685026,0.0,1.2193889675037057,199-D4-14,1.0,Trend_Summary,0.269039949507689,INTERP + EVENT,INTERP + EVENT,21.0,both,0.0,0.048899148643422874,,
199-D4-14__ITER2,199-D4-14,2,21.0,ULAG,,,,,,,166,6,INTERP+EVENT,False,,,,,199-D4-14,2.0,Trend_Summary,2.23796676949162e-05,INTERP + EVENT,INTERP + EVENT,21.0,both,0.0,,,
199-D4-19__ITER1,199-D4-19,1,11.0,ULAG,0.18126047155684466,0.11181051023786073,1.0,9.824615769731578,10.219064924404016,-2.912307884865789,9,8,INTERP+EVENT,True,-36.64797031706278,0.3150430175330534,0.0,0.20764382582759883,199-D4-19,1.0,Trend_Summary,,,,,both,,,,
199-D4-19__ITER2,199-D4-19,2,11.0,ULAG,0.026554955626617915,0.005387358688486292,1.0,67.19084963514644,69.85525865549684,-31.595424817573214,28,14,INTERP+EVENT,True,-68.85860604501619,0.5924255198698559,0.0,1.0457893328766072,199-D4-19,2.0,Trend_Summary,4.98758446958458e-05,INTERP + EVENT,INTERP + EVENT,11.0,both,0.0,0.02650507978192207,,
199-D4-1__ITER1,199-D4-1,1,4.0,ULAG,0.08604622606202517,0.031038081207206372,1.0,46.11136672041524,47.656544164894804,-21.05568336020762,16,6,INTERP+EVENT,True,112.79827131599657,-0.944678506864027,0.0,1.1725699502965212,199-D4-1,1.0,Trend_Summary,0.0014075786045021,INTERP + EVENT,INTERP + EVENT,4.0,both,0.0,0.08463864745752307,,
199-D4-1__ITER2,199-D4-1,2,4.0,ULAG,0.6043369964374228,0.327236485109321,1.0,22.85789287383134,22.749713171941966,-9.42894643691567,7,0,INTERP+EVENT,True,-35.80930374955509,0.328134790235723,0.0,0.347430449889076,199-D4-1,2.0,Trend_Summary,0.0012637909468854,INTERP + EVENT,INTERP + EVENT,4.0,both,0.0,0.6030732054905373,,
199-D4-22__ITER1,199-D4-22,1,21.0,ULAG,0.20801857238439592,0.4654054128896924,1.0,26.400637771769375,26.795086926441815,-11.200318885884688,9,0,INTERP+EVENT,True,-27.02150605597998,0.28690233835988205,0.0,0.20517354770489327,199-D4-22,1.0,Trend_Summary,0.0924775760467332,INTERP + EVENT,INTERP + EVENT,21.0,both,0.0,0.11554099633766271,,
